DBN,SCHOOL NAME,Num of SAT Test Takers,SAT Critical Reading Avg. Score,SAT Math Avg. Score,SAT Writing Avg. Score
01M292,HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,29,355,404,363
01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,91,383,423,366
01M450,EAST SIDE COMMUNITY SCHOOL,70,377,402,370
01M458,FORSYTH SATELLITE ACADEMY,7,414,401,359
01M509,MARTA VALLE HIGH SCHOOL,44,390,433,384
01M515,LOWER EAST SIDE PREPARATORY HIGH SCHOOL,112,332,557,316
01M539,"NEW EXPLORATIONS INTO SCIENCE, TECHNOLOGY AND MATH HIGH SCHOOL",159,522,574,525
01M650,CASCADES HIGH SCHOOL,18,417,418,411
01M696,BARD HIGH SCHOOL EARLY COLLEGE,130,624,604,628
02M047,47 THE AMERICAN SIGN LANGUAGE AND ENGLISH SECONDARY SCHOOL,16,395,400,387
02M288,FOOD AND FINANCE HIGH SCHOOL,62,409,393,392
02M294,ESSEX STREET ACADEMY,53,394,384,378
02M296,HIGH SCHOOL OF HOSPITALITY MANAGEMENT,58,374,375,362
02M298,PACE HIGH SCHOOL,85,423,438,432
02M300,"URBAN ASSEMBLY SCHOOL OF DESIGN AND CONSTRUCTION, THE",48,404,449,416
02M303,"FACING HISTORY SCHOOL, THE",76,353,358,340
02M305,"URBAN ASSEMBLY ACADEMY OF GOVERNMENT AND LAW, THE",50,375,388,385
02M308,LOWER MANHATTAN ARTS ACADEMY,40,403,392,405
02M313,"JAMES BALDWIN SCHOOL, THE: A SCHOOL FOR EXPEDITIONARY LEARNING",69,408,390,390
02M316,"URBAN ASSEMBLY SCHOOL OF BUSINESS FOR YOUNG WOMEN, THE",42,373,370,384
02M374,GRAMERCY ARTS HIGH SCHOOL,60,391,391,394
02M376,NYC ISCHOOL,92,473,483,479
02M392,MANHATTAN BUSINESS ACADEMY,s,s,s,s
02M393,BUSINESS OF SPORTS SCHOOL,s,s,s,s
02M394,EMMA LAZARUS HIGH SCHOOL,79,319,512,357
02M399,THE HIGH SCHOOL FOR LANGUAGE AND DIPLOMACY,s,s,s,s
02M400,HIGH SCHOOL FOR ENVIRONMENTAL STUDIES,263,465,493,461
02M407,INSTITUTE FOR COLLABORATIVE EDUCATION,54,492,465,467
02M408,PROFESSIONAL PERFORMING ARTS HIGH SCHOOL,94,509,490,523
02M411,BARUCH COLLEGE CAMPUS HIGH SCHOOL,104,496,563,518
02M412,N.Y.C. LAB SCHOOL FOR COLLABORATIVE STUDIES,114,537,590,550
